En iyi sonuç: Iteration 1, Harmony: {'x1': 0.23327571208166203, 'x2': 9.891945347996996, 'x3': 7.834332470137158, 'x4': 0.333651954554931}, Fitness: 3.599231913337009, Penalty: 0
Iteration 2, Harmony: {'x1': 0.23327571208166203, 'x2': 9.891945347996996, 'x3': 7.834332470137158, 'x4': 0.333651954554931}, Fitness: 3.599231913337009, Penalty: 0
Iteration 3, Harmony: {'x1': 0.23327571208166203, 'x2': 9.891945347996996, 'x3': 7.834332470137158, 'x4': 0.333651954554931}, Fitness: 3.599231913337009, Penalty: 0
Iteration 4, Harmony: {'x1': 0.23327571208166203, 'x2': 9.891945347996996, 'x3': 7.834332470137158, 'x4': 0.333651954554931}, Fitness: 3.599231913337009, Penalty: 0
Iteration 5, Harmony: {'x1': 0.23327571208166203, 'x2': 9.891945347996996, 'x3': 7.834332470137158, 'x4': 0.333651954554931}, Fitness: 3.599231913337009, Penalty: 0
Iteration 6, Harmony: {'x1': 0.23327571208166203, 'x2': 9.891945347996996, 'x3': 7.834332470137158, 'x4': 0.333651954554931}, Fitness: 3.599231913337009, Penalty: 0
Iteration 7, Harmony: {'x1': 0.23327571208166203, 'x2': 9.891945347996996, 'x3': 7.834332470137158, 'x4': 0.333651954554931}, Fitness: 3.599231913337009, Penalty: 0
Iteration 8, Harmony: {'x1': 0.23327571208166203, 'x2': 9.891945347996996, 'x3': 7.834332470137158, 'x4': 0.333651954554931}, Fitness: 3.599231913337009, Penalty: 0
Iteration 9, Harmony: {'x1': 0.23327571208166203, 'x2': 9.891945347996996, 'x3': 7.834332470137158, 'x4': 0.333651954554931}, Fitness: 3.599231913337009, Penalty: 0
Iteration 10, Harmony: {'x1': 0.23327571208166203, 'x2': 9.891945347996996, 'x3': 7.834332470137158, 'x4': 0.333651954554931}, Fitness: 3.599231913337009, Penalty: 0
Iteration 11, Harmony: {'x1': 0.23327571208166203, 'x2': 9.891945347996996, 'x3': 7.834332470137158, 'x4': 0.333651954554931}, Fitness: 3.599231913337009, Penalty: 0
Iteration 12, Harmony: {'x1': 0.23327571208166203, 'x2': 9.891945347996996, 'x3': 7.834332470137158, 'x4': 0.333651954554931}, Fitness: 3.599231913337009, Penalty: 0
